tweet,stemming
"['bosstemlen', 'opas', 'belanda', 'bertindak', 'dlm', 'naganin', 'demo', 'jk', 'mahasiswa', 'angkat', 'senjata', 'miyanmar', 'mikir', 'cc', 'mohmahfudmd', 'n', 'kompolnas', 'ri', 'percumalaporpolisi', 'percumalaporpolisi', 'https', 't', 'co', 'ej', 'i', 'm', 'nf']",bosstemlen opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi https t co ej i m nf
"['kompastv', 'opas', 'belanda', 'bertindak', 'dlm', 'naganin', 'demo', 'jk', 'mahasiswa', 'angkat', 'senjata', 'miyanmar', 'mikir', 'cc', 'mohmahfudmd', 'n', 'kompolnas', 'ri', 'percumalaporpolisi', 'percumalaporpolisi', 'https', 't', 'co', 'ej', 'i', 'm', 'nf']",kompastv opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi https t co ej i m nf
"['bosstemlen', 'naikkan', 'percumalaporpolisi']",bosstemlen naik percumalaporpolisi
"['percumalaporpolisi', 'kalo', 'polisisesuaiprosedur', 'anjaayyy']",percumalaporpolisi kalo polisisesuaiprosedur anjaayyy
"['cnnindonesia', 'opas', 'belanda', 'bertindak', 'dlm', 'naganin', 'demo', 'jk', 'mahasiswa', 'angkat', 'senjata', 'miyanmar', 'mikir', 'cc', 'mohmahfudmd', 'n', 'kompolnas', 'ri', 'percumalaporpolisi', 'percumalaporpolisi', 'https', 't', 'co', 'ej', 'i', 'm', 'nf']",cnnindonesia opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi https t co ej i m nf
"['aksilangsung', 'opas', 'belanda', 'bertindak', 'dlm', 'naganin', 'demo', 'jk', 'mahasiswa', 'angkat', 'senjata', 'miyanmar', 'mikir', 'cc', 'mohmahfudmd', 'n', 'kompolnas', 'ri', 'percumalaporpolisi', 'percumalaporpolisi', 'https', 't', 'co', 'ej', 'i', 'm', 'nf']",aksilangsung opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi https t co ej i m nf
"['henrysubiakto', 'opas', 'belanda', 'bertindak', 'dlm', 'naganin', 'demo', 'jk', 'mahasiswa', 'angkat', 'senjata', 'miyanmar', 'mikir', 'cc', 'mohmahfudmd', 'n', 'kompolnas', 'ri', 'percumalaporpolisi', 'percumalaporpolisi', 'https', 't', 'co', 'ej', 'i', 'm', 'nf']",henrysubiakto opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi https t co ej i m nf
['percumalaporpolisi'],percumalaporpolisi
"['aksilangsung', 'opas', 'belanda', 'bertindak', 'dlm', 'naganin', 'demo', 'jk', 'mahasiswa', 'angkat', 'senjata', 'miyanmar', 'mikir', 'cc', 'mohmahfudmd', 'n', 'kompolnas', 'ri', 'percumalaporpolisi', 'percumalaporpolisi', 'https', 't', 'co', 'ej', 'i', 'm', 'nf']",aksilangsung opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi https t co ej i m nf
"['aksilangsung', 'erenwe', 'percumalaporpolisi', 'percumaadapolisi']",aksilangsung erenwe percumalaporpolisi percumaadapolisi
