,tweet,Cleaned_tweet,POS_tagged,Lemma,stemming
0,"@BossTemlen Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF", bosstemlen opas belanda bertindak berlebihan dlm naganin demo jk mahasiswa angkat senjata seperti di miyanmar baru mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi ,"[('bosstemlen', 'v'), ('opas', 'a'), ('belanda', 'n'), ('bertindak', 'n'), ('dlm', 'n'), ('naganin', 'n'), ('demo', 'n'), ('jk', 'n'), ('mahasiswa', 'n'), ('angkat', 'n'), ('senjata', 'n'), ('miyanmar', 'n'), ('mikir', 'n'), ('cc', 'n'), ('mohmahfudmd', 'n'), ('n', 'a'), ('kompolnas', 'n'), ('ri', 'v'), ('percumalaporpolisi', 'n'), ('percumalaporpolisi', 'n')]",  bosstemlen opas belanda bertindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi,bosstemlen opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi
1,"@KompasTV Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF", kompastv opas belanda bertindak berlebihan dlm naganin demo jk mahasiswa angkat senjata seperti di miyanmar baru mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi ,"[('kompastv', 'n'), ('opas', None), ('belanda', 'v'), ('bertindak', 'n'), ('dlm', 'n'), ('naganin', 'n'), ('demo', 'n'), ('jk', 'n'), ('mahasiswa', 'n'), ('angkat', 'n'), ('senjata', 'n'), ('miyanmar', 'n'), ('mikir', 'n'), ('cc', 'n'), ('mohmahfudmd', 'n'), ('n', 'a'), ('kompolnas', 'n'), ('ri', 'v'), ('percumalaporpolisi', 'n'), ('percumalaporpolisi', 'n')]",  kompastv opas belanda bertindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi,kompastv opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi
2,@BossTemlen Naikkan lagi #PercumaLaporPolisi, bosstemlen naikkan lagi percumalaporpolisi,"[('bosstemlen', 'v'), ('naikkan', 'a'), ('percumalaporpolisi', 'n')]",  bosstemlen naikkan percumalaporpolisi,bosstemlen naik percumalaporpolisi
3,#PercumaLaporPolisi kalo #PolisiSesuaiProsedur. #anjaayyy, percumalaporpolisi kalo polisisesuaiprosedur anjaayyy,"[('percumalaporpolisi', 'n'), ('kalo', 'n'), ('polisisesuaiprosedur', 'n'), ('anjaayyy', 'n')]",  percumalaporpolisi kalo polisisesuaiprosedur anjaayyy,percumalaporpolisi kalo polisisesuaiprosedur anjaayyy
4,"@CNNIndonesia Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF", cnnindonesia opas belanda bertindak berlebihan dlm naganin demo jk mahasiswa angkat senjata seperti di miyanmar baru mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi ,"[('cnnindonesia', 'n'), ('opas', None), ('belanda', 'v'), ('bertindak', 'n'), ('dlm', 'n'), ('naganin', 'n'), ('demo', 'n'), ('jk', 'n'), ('mahasiswa', 'n'), ('angkat', 'n'), ('senjata', 'n'), ('miyanmar', 'n'), ('mikir', 'n'), ('cc', 'n'), ('mohmahfudmd', 'n'), ('n', 'a'), ('kompolnas', 'n'), ('ri', 'v'), ('percumalaporpolisi', 'n'), ('percumalaporpolisi', 'n')]",  cnnindonesia opas belanda bertindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi,cnnindonesia opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi
5,"@AksiLangsung Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF", aksilangsung opas belanda bertindak berlebihan dlm naganin demo jk mahasiswa angkat senjata seperti di miyanmar baru mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi ,"[('aksilangsung', 'n'), ('opas', None), ('belanda', 'v'), ('bertindak', 'n'), ('dlm', 'n'), ('naganin', 'n'), ('demo', 'n'), ('jk', 'n'), ('mahasiswa', 'n'), ('angkat', 'n'), ('senjata', 'n'), ('miyanmar', 'n'), ('mikir', 'n'), ('cc', 'n'), ('mohmahfudmd', 'n'), ('n', 'a'), ('kompolnas', 'n'), ('ri', 'v'), ('percumalaporpolisi', 'n'), ('percumalaporpolisi', 'n')]",  aksilangsung opas belanda bertindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi,aksilangsung opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi
6,"@henrysubiakto Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF", henrysubiakto opas belanda bertindak berlebihan dlm naganin demo jk mahasiswa angkat senjata seperti di miyanmar baru mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi ,"[('henrysubiakto', 'n'), ('opas', None), ('belanda', 'v'), ('bertindak', 'n'), ('dlm', 'n'), ('naganin', 'n'), ('demo', 'n'), ('jk', 'n'), ('mahasiswa', 'n'), ('angkat', 'n'), ('senjata', 'n'), ('miyanmar', 'n'), ('mikir', 'n'), ('cc', 'n'), ('mohmahfudmd', 'n'), ('n', 'a'), ('kompolnas', 'n'), ('ri', 'v'), ('percumalaporpolisi', 'n'), ('percumalaporpolisi', 'n')]",  henrysubiakto opas belanda bertindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi,henrysubiakto opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi
7,#PercumaLaporPolisi, percumalaporpolisi,"[('percumalaporpolisi', 'n')]",  percumalaporpolisi,percumalaporpolisi
8,"@AksiLangsung Opas Belanda bertindak berlebihan dlm naganin demo, jk Mahasiswa angkat senjata seperti di Miyanmar, baru mikir.. Cc. @mohmahfudmd n @kompolnas_ri #PercumaLaporPolisi  #PercumaLaporPolisi  https://t.co/EJ4i8M02NF", aksilangsung opas belanda bertindak berlebihan dlm naganin demo jk mahasiswa angkat senjata seperti di miyanmar baru mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi ,"[('aksilangsung', 'n'), ('opas', None), ('belanda', 'v'), ('bertindak', 'n'), ('dlm', 'n'), ('naganin', 'n'), ('demo', 'n'), ('jk', 'n'), ('mahasiswa', 'n'), ('angkat', 'n'), ('senjata', 'n'), ('miyanmar', 'n'), ('mikir', 'n'), ('cc', 'n'), ('mohmahfudmd', 'n'), ('n', 'a'), ('kompolnas', 'n'), ('ri', 'v'), ('percumalaporpolisi', 'n'), ('percumalaporpolisi', 'n')]",  aksilangsung opas belanda bertindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi,aksilangsung opas belanda tindak dlm naganin demo jk mahasiswa angkat senjata miyanmar mikir cc mohmahfudmd n kompolnas ri percumalaporpolisi percumalaporpolisi
9,@AksiLangsung @erenwe_ #percumalaporpolisi #PercumaAdaPolisi, aksilangsung erenwe percumalaporpolisi percumaadapolisi,"[('aksilangsung', 'n'), ('erenwe', 'n'), ('percumalaporpolisi', 'n'), ('percumaadapolisi', 'n')]",  aksilangsung erenwe percumalaporpolisi percumaadapolisi,aksilangsung erenwe percumalaporpolisi percumaadapolisi
